date,id,paper_title,page,n_pages,string_length,character_proportion,men_count,women_count,size,total_count,year,men_areas,women_areas
1950-03-17,KBNRC01:000087545:mpeg21:a0139,Algemeen Handelsblad,10,10,180,1.131724210127234e-05,0,2,5371006,2,1950,[],"[0.25299450419530345, 0.29651316717948184]"
1950-03-17,KBNRC01:000087545:mpeg21:a0143,Algemeen Handelsblad,10,10,576,0.00027621024202922456,0,1,1582096,1,1950,[],[0.3619691851821887]
1950-03-18,KBNRC01:000087546:mpeg21:a0068,Algemeen Handelsblad,4,14,840,0.00019481536026346453,0,1,3624023,1,1950,[],[0.090167750039114]
1950-03-20,KBNRC01:000087547:mpeg21:a0110,Algemeen Handelsblad,6,8,546,7.28077370355223e-05,5,0,7495161,5,1950,"[0.00885931603070301, 0.010412584866422483, 0.02227357090794981, 0.038549138570872596, 0.13546179995332988]",[]
1950-03-23,KBNRC01:000087550:mpeg21:a0083,Algemeen Handelsblad,5,8,1748,0.00036205925551254886,2,0,3828353,2,1950,"[0.08290980481684944, 0.04415319068016978]",[]
1950-03-23,KBNRC01:000087550:mpeg21:a0138,Algemeen Handelsblad,8,8,358,3.6146733930555465e-05,1,0,5076474,1,1950,[0.3122206476384987],[]
1950-03-24,KBNRC01:000087551:mpeg21:a0124,Algemeen Handelsblad,8,10,586,0.00012785636798895458,1,1,3059532,2,1950,[0.34984566266997696],[0.019193785193291]
1950-03-24,KBNRC01:000087551:mpeg21:a0133,Algemeen Handelsblad,8,10,160,4.440684664761613e-05,0,1,2062032,1,1950,[],[0.43961975371866197]
1950-03-24,KBNRC01:000087551:mpeg21:a0157,Algemeen Handelsblad,10,10,95,9.437984888892067e-06,0,2,5374656,2,1950,[],"[0.3193454613653413, 0.21998338126198216]"
1950-03-27,KBNRC01:000087553:mpeg21:a0106,Algemeen Handelsblad,6,8,710,2.243060499985768e-05,17,0,31009692,17,1950,"[0.00666394880671501, 0.007932132960237077, 0.007054891096628757, 0.006425732961165819, 0.004168890165049044, 0.0055756761466705315, 0.00966443007560346, 0.024328942061082066, 0.004693371349834755, 0.0019331375493829477, 0.0023760313388472222, 0.005142521247873085, 0.00412113090320278, 0.011319041801511606, 0.006515640335931102, 0.07476017498013202, 0.02197467811031467]",[]
1950-03-27,KBNRC01:000087553:mpeg21:a0107,Algemeen Handelsblad,6,8,551,7.370827255633665e-05,5,0,7470232,5,1950,"[0.03634264638635052, 0.004337214694269201, 0.006017885388298516, 0.02393419642120887, 0.25835101239158303]",[]
1950-03-29,KBNRC01:000087555:mpeg21:a0053,Algemeen Handelsblad,3,8,220,0.00010875239255263615,1,0,1105116,1,1950,[0.10515457200873031],[]
1950-03-29,KBNRC01:000087555:mpeg21:a0130,Algemeen Handelsblad,8,8,388,0.00011016433509151448,1,0,2353701,1,1950,[0.01147979288788168],[]
